№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
21;Привод, электрика и КИПиА;ИБП и электропитание;Неделя 2;Landata (ups-info.ru);дистрибьютор Eaton и Delta;Стабилизаторы, Блоки питания DIN;Запрос условий сервиса / КП;e-mail/телефон;power@landata.ru;+7 495 925-76-20;https://ups-info.ru;Запрос условий для B2B-площадки ПРОМКОНТУР — ИБП и электропитание;;;;;;;;;не отправлено;
22;Привод, электрика и КИПиА;Дизель-генераторы;Неделя 1;ПК «Азимут» (gc-azimut.ru, generator-azimut.com);производитель РФ + официальная дилерская сеть;ДГУ открытые, в кожухе, Контейнерные, Шкафы АВР;Запрос дилерских условий;e-mail/телефон;sales@gc-azimut.ru;+7 495 125-25-42;https://gc-azimut.ru;Дилерство Azimut — ПРОМКОНТУР, направление «Дизель-генераторы»;;;;;;;;;не отправлено;
23;Привод, электрика и КИПиА;Дизель-генераторы;Резерв;Заводы на базе Weichai/Cummins China (через торговые платформы Alibaba/Made-in-China);завод (Китай), прямых представительств в РФ по контейнерным ДГУ не найдено;Контейнерные, Запчасти и контроллеры ДГУ;ВЭД-партнёр: импорт под ключ;запрос КП через торговую платформу, прямых контактов конкретного завода не собрано;;;https://en.made-in-china.com;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
24;Привод, электрика и КИПиА;Промышленное освещение;Неделя 1;Световые Технологии (ltcompany.com);крупнейший производитель РФ;Для высоких пролётов, Линейные складские, IP65–IP69, Прожекторы, Аварийное;Запрос дилерских условий;форма на сайте;;;https://lt.nt-rt.ru;Дилерство Световые Технологии — ПРОМКОНТУР, направление «Промышленное освещение»;;;;;;;;;не отправлено;
25;Привод, электрика и КИПиА;Промышленное освещение;Неделя 2;Атон (aton-svet.ru);производитель РФ (Нижний Новгород);IP65–IP69, Взрывозащищённые, Линейные складские;Запрос дилерских условий;форма на сайте;;;https://aton-svet.ru/dilery/;Дилерство Атон — ПРОМКОНТУР, направление «Промышленное освещение»;;;;;;;;;не отправлено;
26;Привод, электрика и КИПиА;Промышленное освещение;Неделя 2;ГОРЭЛТЕХ (exd.ru);производитель взрывозащищённого оборудования;Взрывозащищённые;Запрос условий сервиса / КП;e-mail/телефон;mail@exd.ru;8 (800) 100-100-4;https://exd.ru;Запрос условий для B2B-площадки ПРОМКОНТУР — Промышленное освещение;;;;;;;;;не отправлено;
27;Привод, электрика и КИПиА;Энергосбережение;Неделя 1;Эталон (ettalon.ru);дистрибьютор/сборщик УКРМ с открытым прайсом;УКРМ, Регуляторы реактивной мощности;Запрос условий сервиса / КП;сайт/форма;;;https://ettalon.ru/catalog/ukrm;Запрос условий для B2B-площадки ПРОМКОНТУР — Энергосбережение;;;;;;;;;не отправлено;
28;Привод, электрика и КИПиА;Энергосбережение;Неделя 2;4-Energy (4-energy.ru);производитель РФ УКРМ;УКРМ, Конденсаторы и контакторы для УКРМ, Фильтры гармоник;Запрос условий сервиса / КП;форма на сайте;;;https://4-energy.ru;Запрос условий для B2B-площадки ПРОМКОНТУР — Энергосбережение;;;;;;;;;не отправлено;
29;Привод, электрика и КИПиА;Энергосбережение;Неделя 1;Меркурий / Инкотекс через ГК «Новые Технологии» (mercury.nt-rt.ru);производитель РФ + дистрибьютор;Счётчики и анализаторы сети, Мониторинг энергопотребления;Запрос дилерских условий;форма на сайте;;;https://mercury.nt-rt.ru;Дилерство Меркурий (Инкотекс) — ПРОМКОНТУР, направление «Энергосбережение»;;;;;;;;;не отправлено;
30;Привод, электрика и КИПиА;Энергосбережение;Резерв;Челябинский завод электрооборудования (chelzeo.ru);производитель РФ УКРМ;УКРМ;Запрос условий сервиса / КП;e-mail;sales@chelzeo.ru;;https://chelzeo.ru;Запрос условий для B2B-площадки ПРОМКОНТУР — Энергосбережение;;;;;;;;;не отправлено;
31;Перекачка, трубопровод, вода;Насосы;Неделя 1;ООО «СиэНПи Рус» (CNP/Aikon);офиц. дистрибьютор (единое торговое представительство завода Nanfang Pump Industry в РФ/СНГ);консольные, консольно-моноблочные, вертикальные многоступенчатые, циркуляционные ин-лайн;Запрос дилерских условий;дилерская политика/форма;;+7 800 333-10-74;https://www.cnprussia.ru/cooperation/dealers/dealers-policy/;Дилерство CNP, Aikon — ПРОМКОНТУР, направление «Насосы»;;;;;;;;;не отправлено;
32;Перекачка, трубопровод, вода;Насосы;Неделя 1;ООО «ВИЛО РУС»;производитель (локальный завод, Ногинск) + сеть партнёров;консольно-моноблочные, циркуляционные ин-лайн, дренажные и фекальные, насосные станции повышения давления;Запрос дилерских условий;форма/контакты на сайте;;;https://wilo.ru/;Дилерство Wilo, Native — ПРОМКОНТУР, направление «Насосы»;;;;;;;;;не отправлено;
33;Перекачка, трубопровод, вода;Насосы;Неделя 1;АО «ГМС Ливгидромаш»;производитель (завод, Ливны);консольные, консольно-моноблочные, запчасти и торцевые уплотнения к насосам;Запрос дилерских условий;анкета + заявка первому замуправляющего директора;sbyt@hms-livgidromash.ru;+7 (48677) 7-81-00;https://www.hms-livgidromash.ru/sale/how-to-become-dealer.php;Дилерство Ливгидромаш, К/КМ — ПРОМКОНТУР, направление «Насосы»;;;;;;;;;не отправлено;
34;Перекачка, трубопровод, вода;Насосы;Неделя 1;ООО «ДЖИЛЕКС»;производитель (завод, Климовск/Подольск);скважинные, дренажные и фекальные, насосные станции повышения давления;Запрос дилерских условий;форма на сайте;sales@jeelex.ru;+7 (499) 400-55-55;https://jeelex.ru/dealers/terms-cooperation/;Дилерство Джилекс — ПРОМКОНТУР, направление «Насосы»;;;;;;;;;не отправлено;
35;Перекачка, трубопровод, вода;Насосы;Неделя 2;ESPA RUS;офиц. представитель (Испания);вертикальные многоступенчатые, насосные станции повышения давления;Запрос дилерских условий;email/телефон;info@espa.ru;+7 (495) 730-43-06;https://espa.ru/about/kontakty/;Дилерство ESPA — ПРОМКОНТУР, направление «Насосы»;;;;;;;;;не отправлено;
36;Перекачка, трубопровод, вода;Насосы;Резерв;ООО «Йилмаз Рус» (турецкий завод Yılmaz/ELK/GAMAK);прямой дистрибьютор турецкого производителя;дозировочные;Запрос условий сервиса / КП;форма на сайте;;;https://yilmaz-rus.ru/;Запрос условий для B2B-площадки ПРОМКОНТУР — Насосы;;;;;;;;;не отправлено;
37;Перекачка, трубопровод, вода;Промышленная арматура;Неделя 1;АДЛ;производитель (РФ, МО) + прямые поставки европейских брендов;задвижки клиновые и шиберные, дисковые затворы, шаровые краны, обратные клапаны, регулирующие и предохранительные клапаны, фильтры сетчатые и грязевики;Запрос дилерских условий;телефон/email;info@adl.ru;+7 (495) 937-89-68;https://adl.ru/;Дилерство АДЛ — ПРОМКОНТУР, направление «Промышленная арматура»;;;;;;;;;не отправлено;
38;Перекачка, трубопровод, вода;Промышленная арматура;Неделя 2;Tecofi (через официальных дилеров: ТермоПартнер, Ревитех-Пермь, Новатек, ВТП Инжиниринг);офиц. дистрибьюторы французского производителя;задвижки клиновые и шиберные, дисковые затворы, регулирующие и предохранительные клапаны, электро- и пневмоприводы;Запрос дилерских условий;через дилера, форма на сайте;;;https://termopartner.ru/brands/tecofi/;Дилерство Tecofi — ПРОМКОНТУР, направление «Промышленная арматура»;;;;;;;;;не отправлено;
39;Перекачка, трубопровод, вода;Промышленная арматура;Неделя 2;Ридан (Ridan);производитель (Дзержинск) — также поворотные затворы;дисковые затворы;Запрос дилерских условий;форма на сайте;;;https://ridan.ru/distributors-and-service-partners;Дилерство Ридан — ПРОМКОНТУР, направление «Промышленная арматура»;;;;;;;;;не отправлено;
40;Перекачка, трубопровод, вода;Промышленная арматура;Резерв;Zhejiang Chaoda Valve Group (Chaoda Valves);производитель (Китай, Вэньчжоу);шаровые краны, задвижки клиновые и шиберные, обратные клапаны, дисковые затворы;ВЭД-партнёр: импорт под ключ;форма на chinavalve.com / Alibaba;;;http://www.chinavalve.com/blank41.html;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
41;Перекачка, трубопровод, вода;Гидравлика;Неделя 1;«Гидравлика-сервис» (Владимир, gidravlik33.ru);офиц. дилер PSM-Hydraulics + мультибренд;шестерённые/аксиально-поршневые/пластинчатые насосы, гидромоторы, распределители и клапаны, гидростанции;Запрос дилерских условий;форма на сайте;;;https://gidravlik33.ru/about/;Дилерство PSM-Hydraulics, Camozzi, ATOS, SMC, Гидравлик, Гидроаппарат (Ульяновск) — ПРОМКОНТУР, направление «Гидравлика»;;;;;;;;;не отправлено;
42;Перекачка, трубопровод, вода;Гидравлика;Неделя 2;«Гидравлик Групп» (Москва);сервис/производство РВД и гидроцилиндров;РВД и фитинги, уплотнения и ремкомплекты;Агентская схема — вознаграждение за заявку;телефон;;8 800 775-96-77;https://gidravlikgroup.ru/about/;Партнёрство по привлечению заказчиков — Гидравлика;;;;;;;;;не отправлено;
43;Перекачка, трубопровод, вода;Гидравлика;Резерв;Jiangsu Hengli Hydraulic Co. (Hengli Hydraulics);производитель (Китай, публичная компания, SSE 601100);гидроцилиндры, гидростанции, фильтры, баки, теплообменники;ВЭД-партнёр: импорт под ключ;форма на сайте;;;https://www.henglihydraulics.com/en/col749/;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
44;Перекачка, трубопровод, вода;Пневматика;Неделя 1;«Би Энд Би Инжиниринг» (bb-engineering.ru);один из офиц. дилеров AirTAC + офиц. дилер Camozzi;пневмоцилиндры, распределители и острова, блоки подготовки воздуха, пневмоприводы арматуры;Запрос дилерских условий;форма на сайте;;;https://bb-engineering.ru/airtac/;Дилерство AirTAC, Camozzi — ПРОМКОНТУР, направление «Пневматика»;;;;;;;;;не отправлено;
45;Перекачка, трубопровод, вода;Пневматика;Неделя 1;ООО «Подшипникон» (podshipnikon.ru);офиц. дилер AirTAC;пневмоцилиндры, фитинги, пневмотрубки, датчики положения и ремкомплекты;Запрос дилерских условий;телефон/форма;;8 (800) 222-60-22;https://podshipnikon.ru/airtac;Дилерство AirTAC — ПРОМКОНТУР, направление «Пневматика»;;;;;;;;;не отправлено;
46;Перекачка, трубопровод, вода;Пневматика;Резерв;China SNS Pneumatic (SNS (Ningbo) Technology Group);производитель (Китай/Тайвань);вакуумные присоски и эжекторы, пневмоцилиндры;ВЭД-партнёр: импорт под ключ;форма на сайте;;;https://snspneumatic.com/;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
47;Перекачка, трубопровод, вода;Теплообменное оборудование;Неделя 1;Ридан (Ridan);производитель (Дзержинск, РФ);разборные пластинчатые, паяные, кожухотрубные, пластины и уплотнения, БТП, охладители масла;Запрос дилерских условий;форма на сайте;;;https://ridan.ru/distributors-and-service-partners;Дилерство Ридан — ПРОМКОНТУР, направление «Теплообменное оборудование»;;;;;;;;;не отправлено;
48;Перекачка, трубопровод, вода;Теплообменное оборудование;Неделя 2;Siping Juyuan Hanyang Plate Heat Exchanger Co. (THT Juyuan);производитель (Китай, Цзилинь);паяные, кожухотрубные;ВЭД-партнёр: импорт под ключ;форма на сайте;;;http://en.tht.cn/;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
49;Перекачка, трубопровод, вода;Котельное оборудование;Неделя 1;ЭНТРОРОС;производитель (СПб);водогрейные котлы, паровые котлы, автоматика котельных, БМК;Запрос дилерских условий;email/через представителя;opt2@prizma-npp.ru;8 (351) 2-777-666;http://thermoengineering.ru/ru/entroros;Дилерство Термотехник, ЭНТРОМАТИК — ПРОМКОНТУР, направление «Котельное оборудование»;;;;;;;;;не отправлено;
50;Перекачка, трубопровод, вода;Котельное оборудование;Неделя 1;Теплоприбор (Беларусь, ОАО, отопительные котлы);производитель;водогрейные котлы, расширительные баки и предохранительная арматура;Запрос дилерских условий;через партнёра МЕЙСТАРС;info@kotelrizon.ru;;https://kotelrizon.ru/;Дилерство Теплоприбор — ПРОМКОНТУР, направление «Котельное оборудование»;;;;;;;;;не отправлено;
51;Перекачка, трубопровод, вода;Котельное оборудование;Неделя 2;Бийский котельный завод (БиКЗ);производитель (с 1942 г.);паровые котлы, водогрейные котлы;Запрос условий сервиса / КП;телефон;sibir@bikz.ru;8-800-333-19-19;;Запрос условий для B2B-площадки ПРОМКОНТУР — Котельное оборудование;;;;;;;;;не отправлено;
52;Перекачка, трубопровод, вода;Котельное оборудование;Резерв;Plumber Rus (эксклюзивный дистрибьютор Baltur);офиц. дистрибьютор (горелки, Италия);горелки;Запрос условий сервиса / КП;email/телефон;info@baltur.su;+7 (495) 101-15-75;;Запрос условий для B2B-площадки ПРОМКОНТУР — Котельное оборудование;;;;;;;;;не отправлено;
53;Перекачка, трубопровод, вода;Водоподготовка;Неделя 1;Гейзер (geizer.com);производитель + эксклюзивный дистрибьютор импортных комплектующих;обратный осмос, умягчение, обезжелезивание, механическая фильтрация, УФ, мембраны, смолы, загрузки;Запрос дилерских условий;страница «Поставщикам/дилерам»;;;https://geizer.com/about/supply/;Дилерство Гейзер, Clack, GE Osmonics, Pentair, Purolite, HM Digital, Runxin — ПРОМКОНТУР, направление «Водоподготовка»;;;;;;;;;не отправлено;
54;Перекачка, трубопровод, вода;Водоподготовка;Неделя 2;osmos.iceberg-filter.ru (iceberg-filter.ru);производитель систем обратного осмоса;обратный осмос, дозирование реагентов;Запрос дилерских условий;телефон/форма;;8 (800) 505-50-39;https://osmos.iceberg-filter.ru/punkty_vydachi_zakazov_dostavka/uslviya-dileram/;Дилерство Iceberg, osmos — ПРОМКОНТУР, направление «Водоподготовка»;;;;;;;;;не отправлено;
55;Перекачка, трубопровод, вода;Водоподготовка;Резерв;Vontron Technology;производитель мембран (Китай, публичная компания, входит в CRRC Group);мембраны, смолы, загрузки;Завод в Китае: цены, OEM, дистрибуция;форма на сайте;;;https://en.vontron.com/;Distribution in Russia — Vontron / ПРОМКОНТУР;;;;;;;;;не отправлено;
56;Перекачка, трубопровод, вода;Очистные сооружения;Неделя 1;ТОПОЛ-ЭКО / ТОПАС;производитель (>20 лет на рынке, 10–13 складов по РФ);биологическая очистка, ливневые, жироуловители, нефте- и пескоуловители;Агентская схема — вознаграждение за заявку;форма на сайте / телефон;;+7 (495) 789-69-37;https://www.topol-eco.ru/for-dealers/;Партнёрство по привлечению заказчиков — Очистные сооружения;;;;;;;;;не отправлено;
57;Перекачка, трубопровод, вода;Очистные сооружения;Неделя 2;АО «Флотенк»;производитель (СПб, стеклопластиковые корпуса методом машинной намотки);КНС, флотаторы, нефте- и пескоуловители, обезвоживание осадка;Запрос условий сервиса / КП;телефон/email;sale@flotenk.ru;8 800 700 48 87;https://flotenk.ru/products/nasosnye-stantsii/;Запрос условий для B2B-площадки ПРОМКОНТУР — Очистные сооружения;;;;;;;;;не отправлено;
58;Перекачка, трубопровод, вода;Очистные сооружения;Резерв;ООО «СБМ-Групп» / ЮНИЛОС;производитель/поставщик КНС и очистных;КНС, биологическая очистка;Запрос дилерских условий;email/личный кабинет партнёра;partner@unilos.ru;+7 (495) 279-25-35;https://partner.unilos.ru/;Дилерство ЮНИЛОС, СБМ-Групп — ПРОМКОНТУР, направление «Очистные сооружения»;;;;;;;;;не отправлено;
59;Перекачка, трубопровод, вода;Пожарное оборудование;Неделя 1;ЗАО «ПО «Спецавтоматика» (Бийск);производитель (единственное предприятие в РФ с полным спектром оборудования для систем водяного/пенного пожаротушения, сигнализации);насосные станции пожаротушения, шкафы управления пожарными насосами, узлы управления, оросители, приборы и извещатели;Запрос дилерских условий;email/телефон отдела продаж;sales@sa-biysk.ru;8-800-2008-208;https://sa-biysk.ru/offices/;Дилерство Спецавтоматика — ПРОМКОНТУР, направление «Пожарное оборудование»;;;;;;;;;не отправлено;
60;Перекачка, трубопровод, вода;Пожарное оборудование;Неделя 1;АДЛ;производитель (арматура, включая пожарные клапаны);пожарные клапаны;Запрос дилерских условий;телефон/email;info@adl.ru;+7 (495) 937-89-68;https://adl.ru/;Дилерство АДЛ — ПРОМКОНТУР, направление «Пожарное оборудование»;;;;;;;;;не отправлено;
61;Перекачка, трубопровод, вода;Пожарное оборудование;Неделя 2;ООО «ПОЖТЕХКОМ» (ptk53.ru);поставщик/производитель пожарных шкафов и рукавов (Великий Новгород/Боровичи);пожарные шкафы и рукава;Запрос условий сервиса / КП;телефон/прайс на сайте;;;https://ptk53.ru/prays_list;Запрос условий для B2B-площадки ПРОМКОНТУР — Пожарное оборудование;;;;;;;;;не отправлено;
62;Перекачка, трубопровод, вода;Пожарное оборудование;Резерв;«Первая Пожарная Компания» (01ppk.ru);мультибрендовый дистрибьютор (офиц. представитель Спецавтоматика Бийск, БЗТМ, Гидрант, Уралмеханика, Огнеза);насосные станции пожаротушения, узлы управления, пожарные шкафы и рукава;Запрос дилерских условий;форма на сайте;;;http://01ppk.ru/dileram/;Дилерство Спецавтоматика, БЗТМ, Гидрант, Уралмеханика, Огнеза — ПРОМКОНТУР, направление «Пожарное оборудование»;;;;;;;;;не отправлено;
63;Воздух, климат и очистка;Компрессоры;Неделя 1;Бежецкий завод АСО;производитель;Винтовые, Поршневые, Ресиверы, Запчасти и сервисные комплекты;Запрос дилерских условий;форма на сайте;;;https://asobezh.ru/promo/partner/;Дилерство АСО — ПРОМКОНТУР, направление «Компрессоры»;;;;;;;;;не отправлено;
64;Воздух, климат и очистка;Компрессоры;Неделя 1;ЗАО «Ремеза» / ТД Ремеза;производитель;Винтовые, Поршневые, Осушители рефрижераторные и адсорбционные, Ресиверы;Запрос дилерских условий;личный кабинет / телефон;;8-800-511-31-05;https://www.remeza-logistic.ru/;Дилерство Remeza — ПРОМКОНТУР, направление «Компрессоры»;;;;;;;;;не отправлено;
65;Воздух, климат и очистка;Компрессоры;Неделя 1;Компрессорный завод «Арсмаш» (ЗИФ);производитель;Винтовые, Поршневые, Запчасти и сервисные комплекты;Запрос дилерских условий;форма на сайте / телефон;diler@zif.su;8-800-200-28-43;https://diler.zif.su/;Дилерство ЗИФ — ПРОМКОНТУР, направление «Компрессоры»;;;;;;;;;не отправлено;
66;Воздух, климат и очистка;Компрессоры;Неделя 2;КАЙШАН РУС / Кайшан Компрессор РУС;офиц. дистрибьютор;Винтовые, Ресиверы;Запрос дилерских условий;e-mail / телефон;info@kaishanrus.com;+7 800 444-11-07;https://www.kaishanrus.com/;Дилерство Kaishan — ПРОМКОНТУР, направление «Компрессоры»;;;;;;;;;не отправлено;
67;Воздух, климат и очистка;Компрессоры;Неделя 2;ООО «БИГ Фильтр» (BIG FILTER);производитель;Магистральные фильтры и сепараторы, Запчасти и сервисные комплекты;Запрос дилерских условий;форма на сайте;;;https://bigfilter.com/partnership/dealers/;Дилерство BIG FILTER — ПРОМКОНТУР, направление «Компрессоры»;;;;;;;;;не отправлено;
68;Воздух, климат и очистка;Вентиляция и климат;Неделя 1;Systemair (ООО «Системэйр»);производитель;ПВУ, Радиальные и осевые вентиляторы, Крышные и канальные вентиляторы, Воздушно-отопительные агрегаты;Запрос дилерских условий;e-mail;info@systemair-rus.ru;;https://systemy-rus.ru/diller;Дилерство Systemair, Geniox, Topvex — ПРОМКОНТУР, направление «Вентиляция и климат»;;;;;;;;;не отправлено;
