№;Кластер;Направление;Приоритет;Компания;Роль;Закрывает;Шаблон;Канал;E-mail;Телефон;Страница;Дропшип;Отгрузка клиенту;Нейтрально;Мин. заказ;Фид;Приём заказа;Оплата;Срок отгрузки;Возвраты;Тема письма;Дата отправки;Повтор;Звонок;Ответ;Скидка/условия;Порог входа;Отсрочка;Фид/API;Статус;Комментарий
13;Привод, электрика и КИПиА;КИПиА;Неделя 2;Группа «Теплоприбор» (Челябинск — Промприбор+Теплоконтроль+Теплоприбор);производитель РФ (приборы давления/температуры/расхода);Термосопротивления и термопары, Расходомеры и счётчики, Уровнемеры;Запрос условий сервиса / КП;телефон/e-mail;kip@teplopribor.net;+7 (495) 973-98-85;;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — КИПиА;;;;;;;;;не отправлено;
14;Привод, электрика и КИПиА;КИПиА;Неделя 2;Элемер (НПП);производитель РФ (датчики давления/температуры);Датчики давления, Манометры;Запрос условий сервиса / КП;опросный лист на сайте;;;https://elemer.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — КИПиА;;;;;;;;;не отправлено;
15;Привод, электрика и КИПиА;КИПиА;Резерв;Метран (Промышленная группа, бывший актив Emerson);производитель РФ КИПиА;Датчики давления, Термосопротивления и термопары;Запрос условий сервиса / КП;e-mail/телефон;support@metran.ru;+7 (351) 24 24 000;;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — КИПиА;;;;;;;;;не отправлено;
16;Привод, электрика и КИПиА;Электротехника;Неделя 1;EKF;производитель/бренд (сборка Китай+РФ);Модульные автоматы и УЗО, Силовые автоматы в литом корпусе, Контакторы и тепловые реле, Промежуточные реле и таймеры;Дропшиппинг: прямая отгрузка нашим клиентам;через дистрибьюторов (напр. Элком-Электро) или форма на сайте;;;https://ekfgroup.com;частично;неизвестно — продажа официально идёт «через дистрибьюторов (напр. Элком-Электро) или форму на сайте», прямая отгрузка EKF на адрес третьего лица не подтверждена;неизвестно;от 300 тыс ₽/год оборота для статуса авторизованного субдилера (не минимальный заказ, а годовой порог);да — API для партнёров (products/prices/stocks/product-analogs/product-urls), версионируемый REST;API для партнёров (группы методов Partners/EKF);отсрочка 30 дней (при скидке 50%) / 45 дней (при 48–49%) — для дилеров/субдилеров;неизвестно;неизвестно;Сотрудничество по дропшиппингу: EKF — ПРОМКОНТУР;;;;;;;;;не отправлено;
17;Привод, электрика и КИПиА;Электротехника;Неделя 1;КЭАЗ;производитель (низковольтная автоматика);Силовые автоматы в литом корпусе, Контакторы и тепловые реле, Щиты под заказ;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте / телефон;sale@ru-keaz.com;+7 495 178-05-80;https://keaz.ru/partner/for-dealers;частично;нет напрямую без прямого договора поставки — интернет-магазины идут через региональных дистрибьюторов КЭАЗ;неизвестно;неизвестно (пороги по годовому обороту для группы дилеров — 9/15 млн ₽, не минимальный заказ на дропшип);да — XML/YML фиды по складам (products-google.xml, products.yml, products-electro-<город>.yml) + ETIM-номенклатура;REST API для дистрибьюторов (/restapi/office/...) по ключу из личного кабинета;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: КЭАЗ — ПРОМКОНТУР;;;;;;;;;не отправлено;
18;Привод, электрика и КИПиА;Электротехника;Неделя 1;ЭТМ / iPRO;дистрибьютор (крупнейший электротехнический в РФ);Клеммы, маркировка, DIN-рейки, Корпуса и шкафы, Кнопки, лампы, переключатели;Дропшиппинг: прямая отгрузка нашим клиентам;регистрация на promo.etm.ru;;;https://promo.etm.ru;да;да — прямо описана доставка «до двери конкретного грузополучателя» (грузополучатель может не совпадать с покупателем);неизвестно — явного упоминания нейтральной упаковки/документов не найдено, требуется уточнение у персонального менеджера;неизвестно;да — REST API iPRO (Price, Remains, Goods, SgGds, Info), лимит 1 запрос/сек на метод;да — API iPRO (POST /invoice/create — размещение заказа, GET /invoice — статус, POST /invoice/{id}/delivery — заявка на доставку);неизвестно (общие условия ЭТМ по дистрибьюторским договорам);через API доступен метод получения «доступных дат для отгрузки»;неизвестно;Сотрудничество по дропшиппингу: мультибренд (155+ производителей в ассортименте) — ПРОМКОНТУР;;;;;;;;;не отправлено;
19;Привод, электрика и КИПиА;Электротехника;Неделя 1;IEK GROUP (iek.ru);производитель РФ (низковольтная электротехника, крупнейший бренд кластера по узнаваемости);Модульные автоматы и УЗО, Клеммы, маркировка, DIN-рейки, Кнопки, лампы, переключатели;Дропшиппинг: прямая отгрузка нашим клиентам;регистрация на бизнес-платформе IEK как юрлицо;;;https://www.iek.ru/company/news/8691879/;частично;неизвестно — API даёт контент/остатки для собственной витрины партнёра, прямая отгрузка IEK на адрес конечного клиента партнёра не подтверждена, продажа идёт через дилеров;неизвестно;неизвестно;да — открытый REST API (iek.ru/api/products, /api/ddp) с ценами, остатками, изображениями, аналогами, 3D-моделями;неизвестно (API описан для наполнения контента и остатков, не как явный order-API);неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: IEK, ITK, ONI, Generica — ПРОМКОНТУР;;;;;;;;;не отправлено;
20;Привод, электрика и КИПиА;Кабель и кабеленесущие системы;Неделя 1;Элком-Электро (el-com.ru);дистрибьютор (кабель, электро- и светотехника);Силовой ВВГ, АВВГ, ВБШв, Кабельные вводы, Муфты и наконечники;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail/телефон;sale@el-com.ru;8-800-770-72-80;https://www.el-com.ru/nashim-klientam/online-store/;да;да — доставка по адресу подтверждена (по Москве/МО, по регионам индивидуально), явного ограничения «только на склад покупателя» не найдено;неизвестно — нейтральная отгрузка без бренда Элком-Электро на сайте не описана;бесплатная доставка от 110 000 ₽ (МКАД) / 140 000 ₽ (ЦКАД), платная доставка ниже этих сумм;да — API (наличие, характеристики, изображения, персональные цены);да — B2B-портал online.el-com.ru + API;отсрочка, факторинг, товарный кредит (для субдилеров с оборотом от 1,5 млн ₽/квартал);день в день при наличии на складе;неизвестно;Сотрудничество по дропшиппингу: мультибренд, 155+ производителей — ПРОМКОНТУР;;;;;;;;;не отправлено;
21;Привод, электрика и КИПиА;Кабель и кабеленесущие системы;Неделя 2;СМК / кабели КИМ® (smk-cabel.ru);производитель кабельной продукции для взрывоопасных зон;Кабель для взрывоопасных зон;Запрос условий сервиса / КП;форма на сайте / телефон;Info@smk-cabel.ru;8 (800) 250-96-05;https://smk-cabel.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Кабель и кабеленесущие системы;;;;;;;;;не отправлено;
22;Привод, электрика и КИПиА;Кабель и кабеленесущие системы;Неделя 2;Кабельный завод «Эксперт-Кабель» (expert-cable.ru);производитель кабельно-проводниковой продукции с широкой дилерской сетью;Кабель для взрывоопасных зон;Дропшиппинг: прямая отгрузка нашим клиентам;телефон;;+7 (495) 248-66-70, 8 800 707-66-70;https://expert-cable.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Эксперт-Кабель — ПРОМКОНТУР;;;;;;;;;не отправлено;
23;Привод, электрика и КИПиА;Кабель и кабеленесущие системы;Резерв;Камский кабель (kamkabel.ru);производитель РФ (крупнейший кабельный завод);Силовой ВВГ, АВВГ, ВБШв, Контрольный, Гибкий КГ, Огнестойкий нг(А)-FRLS;Запрос дилерских условий;форма на сайте;;;https://kamkabel.ru/franchise/;нет;нет — доставка партнёру-франчайзи организована через электронную торговую площадку транспортных компаний (kamkabel.ru/providers/logistika), а не на адрес конечного покупателя франчайзи;нет;неизвестно (франшиза, не дропшип-заказ);внутризаводская система для франчайзи («просмотр наличия кабеля на складе завода, расчёт доставки») — не общедоступный фид;личный кабинет франчайзи в внутризаводской системе;неизвестно;неизвестно;неизвестно;Дилерство Камкабель — ПРОМКОНТУР, направление «Кабель и кабеленесущие системы»;;;;;;;;;не отправлено;
24;Привод, электрика и КИПиА;Кабель и кабеленесущие системы;Резерв;ДКС (DKC);производитель (кабеленесущие системы, НВА);Лотки и короба;Запрос дилерских условий;через официальных партнёров;sale@dkc-msk.ru;;https://dkc-msk.ru;нет;нет — доставку до клиента организует и оплачивает сам «Участник Клуба» (то есть ПРОМКОНТУР), а не ДКС;неизвестно;неизвестно;неизвестно (для «Участников Клуба» может быть доступ к каталогу/остаткам, публично не описано);заказ через сайт club.dkc.ru от имени Участника;по реквизитам Участника Клуба (не ДКС);неизвестно;возврат — через склад Участника Клуба, а не ДКС;Дилерство ДКС — ПРОМКОНТУР, направление «Кабель и кабеленесущие системы»;;;;;;;;;не отправлено;
25;Привод, электрика и КИПиА;ИБП и электропитание;Неделя 1;Delta-IBP.ru;официальный дилер + дистрибьютор + сервисный центр Delta Electronics по РФ;Онлайн-ИБП 1–20 кВА, Трёхфазные ИБП 20–400 кВА;Дропшиппинг: прямая отгрузка нашим клиентам;телефон/e-mail;info@delta-ibp.ru;8-800-511-74-42;https://delta-ibp.ru;частично;да — доставка «до двери» по России подтверждена;неизвестно;неизвестно;нет — YML/API на сайте не найдены;форма заказа на сайте / e-mail;100% предоплата для доставки по регионам России;от 4 часов до нескольких рабочих дней в зависимости от наличия, вида доставки и формы оплаты;неизвестно;Сотрудничество по дропшиппингу: Delta (Ultron, Amplon, RT, HPH, DPH серии) — ПРОМКОНТУР;;;;;;;;;не отправлено;
26;Привод, электрика и КИПиА;ИБП и электропитание;Неделя 2;Delta Battery / ENERGON (delta-batt.com, delta-energon.ru);производитель РФ, бренд-зонтик АКБ;АКБ AGM/GEL;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail/телефон;sales@energon.ru;8 (800) 775-61-01;https://delta-batt.com;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Delta Battery — ПРОМКОНТУР;;;;;;;;;не отправлено;
27;Привод, электрика и КИПиА;ИБП и электропитание;Неделя 2;Landata (ups-info.ru);дистрибьютор Eaton и Delta;Стабилизаторы, Блоки питания DIN;Запрос условий сервиса / КП;e-mail/телефон;power@landata.ru;+7 495 925-76-20;https://ups-info.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — ИБП и электропитание;;;;;;;;;не отправлено;
28;Привод, электрика и КИПиА;Дизель-генераторы;Неделя 2;ПК «Азимут» (gc-azimut.ru, generator-azimut.com);производитель РФ + официальная дилерская сеть;ДГУ открытые, в кожухе, Контейнерные, Шкафы АВР;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail/телефон;sales@gc-azimut.ru;+7 495 125-25-42;https://gc-azimut.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Azimut — ПРОМКОНТУР;;;;;;;;;не отправлено;
29;Привод, электрика и КИПиА;Дизель-генераторы;Неделя 2;Завод газовых машин / ЗГМ (gmenergo.ru);российский производитель газопоршневых и дизельных электростанций;Газопоршневые установки;Запрос условий сервиса / КП;форма на сайте / телефон;;8 901 059 18 00;https://gmenergo.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Дизель-генераторы;;;;;;;;;не отправлено;
30;Привод, электрика и КИПиА;Дизель-генераторы;Неделя 2;ДЖЕНЕРЕЙТОР СОЛЮШНЗ АС РУС (stamfordgenerator.ru);авторизованный дистрибьютор Cummins Generator Technologies (Stamford, AvK, Markon) в РФ;Запчасти, фильтры и контроллеры ДГУ;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;info@stamfordgenerator.ru;+7 (812) 940-70-84;https://stamfordgenerator.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Stamford, AvK, Markon — ПРОМКОНТУР;;;;;;;;;не отправлено;
31;Привод, электрика и КИПиА;Дизель-генераторы;Резерв;Заводы на базе Weichai/Cummins China (через торговые платформы Alibaba/Made-in-China);завод (Китай), прямых представительств в РФ по контейнерным ДГУ не найдено;Контейнерные, Запчасти и контроллеры ДГУ;ВЭД-партнёр: импорт под ключ;запрос КП через торговую платформу, прямых контактов конкретного завода не собрано;;;https://en.made-in-china.com;нет;нет;нет;MOQ по запросу у конкретного завода;нет;запрос КП через торговую платформу;неизвестно (типично предоплата по инвойсу для экспортных поставок);срок производства + логистика, недели;неизвестно;Регулярный импорт промоборудования из Китая — ПРОМКОНТУР;;;;;;;;;не отправлено;
32;Привод, электрика и КИПиА;Промышленное освещение;Неделя 1;GoodLight (goodlight.ru);производитель РФ (светодиодные светильники);Для высоких пролётов, Линейные складские, Прожекторы, Аварийное;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail;info@goodlight.ru;+7 (963) 936-14-77;https://www.goodlight.ru/information/dropshipping.php;да;да — явно описана доставка по указанному адресу клиента по всей России;неизвестно — в тексте не уточнено, фигурирует ли бренд GoodLight в сопроводительных документах, отправляемых конечному клиенту;неизвестно (от 1 позиции по смыслу описания схемы, но явно не зафиксировано);нет — YML/API на сайте не найдены, требуется запрос прайса напрямую;e-mail / телефон, ручное оформление заявки менеджеру;клиент платит нам, мы оплачиваем GoodLight по оптовой цене (реселлер выступает промежуточным звеном по расчётам, не предоплата напрямую в адрес GoodLight от конечного клиента);неизвестно (упомянут «складской запас», что подразумевает отсутствие задержек, точный SLA не указан);неизвестно;Сотрудничество по дропшиппингу: GoodLight — ПРОМКОНТУР;;;;;;;;;не отправлено;
33;Привод, электрика и КИПиА;Промышленное освещение;Неделя 2;Световые Технологии (ltcompany.com);крупнейший производитель РФ;Для высоких пролётов, Линейные складские, IP65–IP69, Прожекторы, Аварийное;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://lt.nt-rt.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Световые Технологии — ПРОМКОНТУР;;;;;;;;;не отправлено;
34;Привод, электрика и КИПиА;Промышленное освещение;Неделя 2;Атон (aton-svet.ru);производитель РФ (Нижний Новгород);IP65–IP69, Взрывозащищённые, Линейные складские;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://aton-svet.ru/dilery/;неизвестно;неизвестно;неизвестно;неизвестно;неизвестно;форма на сайте;гибкие условия оплаты (детали не раскрыты);неизвестно;неизвестно;Сотрудничество по дропшиппингу: Атон — ПРОМКОНТУР;;;;;;;;;не отправлено;
35;Привод, электрика и КИПиА;Промышленное освещение;Неделя 2;ГОРЭЛТЕХ (exd.ru);производитель взрывозащищённого оборудования;Взрывозащищённые;Запрос условий сервиса / КП;e-mail/телефон;mail@exd.ru;8 (800) 100-100-4;https://exd.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Промышленное освещение;;;;;;;;;не отправлено;
36;Привод, электрика и КИПиА;Промышленное освещение;Неделя 2;LEDeffect / система SYNERGY (ledeffect.ru);российский производитель светильников и ПО для управления освещением;Системы управления освещением;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте («Оставить заявку на расчёт»);;;https://ledeffect.ru/solutions/lighting-control/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: SYNERGY — ПРОМКОНТУР;;;;;;;;;не отправлено;
37;Привод, электрика и КИПиА;Промышленное освещение;Неделя 2;КБ «Трион» / СУО «Аструм» (trion-led.ru);российский разработчик системы управления освещением на протоколе DALI;Системы управления освещением;Запрос условий сервиса / КП;телефон / e-mail;zakaz@trion-led.ru;+7 (495) 560-48-57;https://trion-led.ru/catalog/sistemy-upravleniya-osveshcheniem-astrum/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Промышленное освещение;;;;;;;;;не отправлено;
38;Привод, электрика и КИПиА;Энергосбережение;Неделя 2;Эталон (ettalon.ru);дистрибьютор/сборщик УКРМ с открытым прайсом;УКРМ, Регуляторы реактивной мощности;Запрос условий сервиса / КП;сайт/форма;;;https://ettalon.ru/catalog/ukrm;неизвестно;неизвестно;неизвестно;неизвестно;нет;форма на сайте;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Энергосбережение;;;;;;;;;не отправлено;
39;Привод, электрика и КИПиА;Энергосбережение;Неделя 2;4-Energy (4-energy.ru);производитель РФ УКРМ;УКРМ, Конденсаторы и контакторы для УКРМ, Фильтры гармоник;Запрос условий сервиса / КП;форма на сайте;;;https://4-energy.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Энергосбережение;;;;;;;;;не отправлено;
40;Привод, электрика и КИПиА;Энергосбережение;Неделя 2;Меркурий / Инкотекс через ГК «Новые Технологии» (mercury.nt-rt.ru);производитель РФ + дистрибьютор;Счётчики и анализаторы сети, Мониторинг энергопотребления;Дропшиппинг: прямая отгрузка нашим клиентам;форма на сайте;;;https://mercury.nt-rt.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;форма на сайте;по счету, отгрузка после оплаты (типовой паттерн сети nt-rt.ru);неизвестно;неизвестно;Сотрудничество по дропшиппингу: Меркурий (Инкотекс) — ПРОМКОНТУР;;;;;;;;;не отправлено;
41;Привод, электрика и КИПиА;Энергосбережение;Неделя 2;Sinexcel / Sinepower (sinepower.ru);поставщик активных фильтров гармоник Sinexcel в РФ;Фильтры гармоник;Дропшиппинг: прямая отгрузка нашим клиентам;e-mail / телефон;sales@sinepower.ru;+7 (812) 445 24 67;https://sinepower.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Sinexcel — ПРОМКОНТУР;;;;;;;;;не отправлено;
42;Привод, электрика и КИПиА;Энергосбережение;Неделя 2;SEDMAX (sedmax.ru);российский разработчик программной платформы диспетчеризации и учёта энергоресурсов;Системы мониторинга энергопотребления;Агентская схема — вознаграждение за заявку;форма на сайте / телефон;;8 (800) 301-35-01;https://sedmax.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Партнёрство по привлечению заказчиков — Энергосбережение;;;;;;;;;не отправлено;
43;Привод, электрика и КИПиА;Энергосбережение;Резерв;Челябинский завод электрооборудования (chelzeo.ru);производитель РФ УКРМ;УКРМ;Запрос условий сервиса / КП;e-mail;sales@chelzeo.ru;;https://chelzeo.ru;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Запрос условий для B2B-площадки ПРОМКОНТУР — Энергосбережение;;;;;;;;;не отправлено;
44;Перекачка, трубопровод, вода;Насосы;Неделя 2;ООО «ВИЛО РУС»;производитель (локальный завод, Ногинск) + сеть партнёров;консольно-моноблочные, циркуляционные ин-лайн, дренажные и фекальные, насосные станции повышения давления;Дропшиппинг: прямая отгрузка нашим клиентам;форма/контакты на сайте;;;https://wilo.ru/;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно;неизвестно;неизвестно;Сотрудничество по дропшиппингу: Wilo, Native — ПРОМКОНТУР;;;;;;;;;не отправлено;
45;Перекачка, трубопровод, вода;Насосы;Неделя 2;АО «ГМС Ливгидромаш»;производитель (завод, Ливны);консольные, консольно-моноблочные, запчасти и торцевые уплотнения к насосам;Дропшиппинг: прямая отгрузка нашим клиентам;анкета + заявка первому замуправляющего директора;sbyt@hms-livgidromash.ru;+7 (48677) 7-81-00;https://www.hms-livgidromash.ru/sale/how-to-become-dealer.php;неизвестно;неизвестно;неизвестно;неизвестно;нет;неизвестно;неизвестно (упоминается товарный кредит до 30 дней для дилеров, не для дропшип-партнёров);неизвестно;неизвестно;Сотрудничество по дропшиппингу: Ливгидромаш, К/КМ — ПРОМКОНТУР;;;;;;;;;не отправлено;
